preset,size_bytes,sample,airtime_us
4800bps,43,3,28483
4800bps,43,4,28482
4800bps,43,5,28497
4800bps,44,1,29526
4800bps,44,2,29521
4800bps,44,3,29527
4800bps,44,4,29526
4800bps,44,5,29527
4800bps,45,1,30568
4800bps,45,2,30570
4800bps,45,3,30578
4800bps,45,4,30567
4800bps,45,5,30568
4800bps,46,1,31610
4800bps,46,2,31613
4800bps,46,3,31610
4800bps,46,4,31610
4800bps,46,5,31611
4800bps,47,1,32650
4800bps,47,2,32649
4800bps,47,3,32651
4800bps,47,4,32650
4800bps,47,5,32655
4800bps,48,1,33694
4800bps,48,2,33696
4800bps,48,3,33694
4800bps,48,4,33697
4800bps,48,5,33690
4800bps,49,1,34740
4800bps,49,2,34739
4800bps,49,3,34734
4800bps,49,4,34739
4800bps,49,5,34733
4800bps,50,1,35780
4800bps,50,2,35773
4800bps,50,3,35779
4800bps,50,4,35776
4800bps,50,5,35783
